system,metric,value,unit,detail
timescaledb,ingest_throughput,309707,5.58s,1728000
timescaledb,query_single_vital_1h,561.6,us,200
timescaledb,query_full_patient_stay,3628.3,us,200
timescaledb,query_cohort_vital_1h,847.3,us,50
timescaledb,query_latest_vital,2466.4,us,200
timescaledb,storage_bytes,224018432,129.6b/rec,1728000
influxdb,ingest_throughput,287412,6.01s,1728000
influxdb,query_single_vital_1h,4948.5,us,50
influxdb,query_full_patient_stay,13912.7,us,50
influxdb,query_cohort_vital_1h,12691.5,us,10
influxdb,query_latest_vital,4618.2,us,50
influxdb,storage_bytes,46268859,26.8b/rec,1728000
