system,metric,value,unit,detail
emberdb,ingest_throughput,1944141,rec/s,78441
sqlite,ingest_throughput,236602,rec/s,78441
emberdb,query_single_vital_1h,0.5,us,200
sqlite,query_single_vital_1h,142.6,us,200
emberdb,query_full_patient_stay,4334.3,us,200
sqlite,query_full_patient_stay,1687.2,us,200
emberdb,query_cohort_vital_1h,155.9,us,10
sqlite,query_cohort_vital_1h,2760.1,us,10
emberdb,query_latest_vital,7537.8,us,200
sqlite,query_latest_vital,165.0,us,200
emberdb,storage_bytes,0,b,78441
sqlite,storage_bytes,8704000,b,78441
timescaledb,ingest_throughput,158006,rec/s,78441
timescaledb,query_single_vital_1h,554.7,us,200
timescaledb,query_full_patient_stay,2151.0,us,200
timescaledb,query_cohort_vital_1h,427.9,us,50
timescaledb,query_latest_vital,1767.5,us,200
timescaledb,storage_bytes,24788992,b,78441
influxdb,ingest_throughput,328673,rec/s,78441
influxdb,query_single_vital_1h,4758.4,us,50
influxdb,query_full_patient_stay,14545.8,us,50
influxdb,query_cohort_vital_1h,4006.8,us,10
influxdb,query_latest_vital,4758.2,us,50
influxdb,storage_bytes,57123354,b,78441
dataset,rows_total,668862,rows,all_itemids
dataset,rows_mapped,78441,rows,vitals
dataset,patients,100,count,subjects
